text,label
전화받을 때는 항상 예의를 지켜야 해.,당위적 사고
업무 일정은 반드시 따라야 해.,당위적 사고
회의 준비는 무조건 완벽해야 해.,당위적 사고
결과 보고는 반드시 체크해야 해.,당위적 사고
회식에서는 무조건 보고해야 해.,당위적 사고
결과 보고는 항상 제시간에 해야 해.,당위적 사고
업무 보고는 항상 존중해야 해.,당위적 사고
상사의 이메일은 무조건 지켜야 해.,당위적 사고
프로모션 준비는 항상 존중해야 해.,당위적 사고
업무 평가에는 항상 꼼꼼해야 해.,당위적 사고
회식에서는 반드시 계획해야 해.,당위적 사고
프로젝트 보고는 무조건 실천해야 해.,당위적 사고
팀 미팅은 반드시 기록해야 해.,당위적 사고
방문객 응대는 반드시 서둘러야 해.,당위적 사고
서류 제출은 반드시 확인해야 해.,당위적 사고
자료 전달은 무조건 답장해야 해.,당위적 사고
회의록은 무조건 완벽해야 해.,당위적 사고
프로젝트 보고는 절대 실수하면 안 돼.,당위적 사고
프로젝트 일정은 항상 협력해야 해.,당위적 사고
방문객 응대는 절대 늦으면 안 돼.,당위적 사고
외부 미팅에는 무조건 실천해야 해.,당위적 사고
프레젠테이션은 절대 늦으면 안 돼.,당위적 사고
팀원 교육은 반드시 체크해야 해.,당위적 사고
프로젝트 일정은 항상 준비해야 해.,당위적 사고
프로모션 준비는 절대 잊으면 안 돼.,당위적 사고
이메일은 무조건 실천해야 해.,당위적 사고
업무 시간에는 반드시 체크해야 해.,당위적 사고
회의 준비는 반드시 체크해야 해.,당위적 사고
업무 계획은 항상 존중해야 해.,당위적 사고
상사의 이메일은 항상 정리해야 해.,당위적 사고
회의 준비는 무조건 답장해야 해.,당위적 사고
전화는 항상 꼼꼼해야 해.,당위적 사고
상사의 이메일은 항상 협력해야 해.,당위적 사고
팀원 교육은 반드시 서둘러야 해.,당위적 사고
업무 일정은 절대 잊으면 안 돼.,당위적 사고
전화받을 때는 절대 실수하면 안 돼.,당위적 사고
프로젝트 회의는 무조건 지켜야 해.,당위적 사고
팀원 교육은 항상 제시간에 해야 해.,당위적 사고
전화는 항상 존중해야 해.,당위적 사고
결과 보고는 항상 협력해야 해.,당위적 사고
프로젝트 회의는 항상 정리해야 해.,당위적 사고
이메일은 반드시 따라야 해.,당위적 사고
자료 정리는 항상 꼼꼼해야 해.,당위적 사고
전화받을 때는 반드시 기록해야 해.,당위적 사고
회식에서는 절대 늦으면 안 돼.,당위적 사고
업무 평가에는 반드시 기록해야 해.,당위적 사고
출근 시간에는 항상 꼼꼼해야 해.,당위적 사고
자료 정리는 항상 협력해야 해.,당위적 사고
일정 관리는 절대 잊으면 안 돼.,당위적 사고
출근할 때는 반드시 미리 준비해야 해.,당위적 사고
사무실에서는 무조건 지켜야 해.,당위적 사고
프레젠테이션은 반드시 미리 준비해야 해.,당위적 사고
자료 전달은 반드시 계획해야 해.,당위적 사고
보고서는 항상 제시간에 해야 해.,당위적 사고
결과 보고는 무조건 집중해야 해.,당위적 사고
문서는 항상 준비해야 해.,당위적 사고
회의록은 반드시 확인해야 해.,당위적 사고
팀 미팅은 무조건 실천해야 해.,당위적 사고
문서는 무조건 지켜야 해.,당위적 사고
프로젝트 회의는 무조건 완벽해야 해.,당위적 사고
협업에서는 절대 늦으면 안 돼.,당위적 사고
외부 미팅에는 항상 준비해야 해.,당위적 사고
작업 공간은 항상 예의를 지켜야 해.,당위적 사고
회식에서는 절대 실수하면 안 돼.,당위적 사고
작업 지시는 무조건 실천해야 해.,당위적 사고
서류 제출은 항상 제시간에 해야 해.,당위적 사고
프레젠테이션은 항상 예의를 지켜야 해.,당위적 사고
문서는 무조건 집중해야 해.,당위적 사고
협업에서는 절대 잊으면 안 돼.,당위적 사고
회의 일정은 반드시 계획해야 해.,당위적 사고
결과 보고는 절대 늦으면 안 돼.,당위적 사고
프로젝트 일정은 항상 제시간에 해야 해.,당위적 사고
외부 미팅에는 반드시 체크해야 해.,당위적 사고
회의록은 항상 준비해야 해.,당위적 사고
업무 평가에는 절대 늦으면 안 돼.,당위적 사고
외부 미팅에는 반드시 확인해야 해.,당위적 사고
서류 제출은 반드시 체크해야 해.,당위적 사고
상사의 지시에는 절대 실수하면 안 돼.,당위적 사고
제안서는 무조건 완벽해야 해.,당위적 사고
협업에서는 절대 실수하면 안 돼.,당위적 사고
회의 전에는 무조건 실천해야 해.,당위적 사고
세금 보고는 항상 존중해야 해.,당위적 사고
회의에는 무조건 완벽해야 해.,당위적 사고
업무 평가에는 항상 존중해야 해.,당위적 사고
프로젝트 보고는 무조건 지켜야 해.,당위적 사고
고객 응대는 절대 실수하면 안 돼.,당위적 사고
팀 미팅은 무조건 완벽해야 해.,당위적 사고
회의록은 반드시 서둘러야 해.,당위적 사고
외부 미팅에는 무조건 보고해야 해.,당위적 사고
회의 전에는 무조건 답장해야 해.,당위적 사고
회의 전에는 반드시 미리 준비해야 해.,당위적 사고
팀원 교육은 항상 정리해야 해.,당위적 사고
자료 전달은 반드시 따라야 해.,당위적 사고
문서는 무조건 완벽해야 해.,당위적 사고
퇴근 전에는 항상 제시간에 해야 해.,당위적 사고
업무 계획은 절대 늦으면 안 돼.,당위적 사고
보고서는 반드시 계획해야 해.,당위적 사고
업무 보고는 무조건 답장해야 해.,당위적 사고
작업 공간은 항상 정리해야 해.,당위적 사고
팀 미팅은 절대 실수하면 안 돼.,당위적 사고
작업 공간은 절대 잊으면 안 돼.,당위적 사고
프로젝트 보고는 무조건 보고해야 해.,당위적 사고
프로모션 준비는 반드시 서둘러야 해.,당위적 사고
결과 보고는 절대 잊으면 안 돼.,당위적 사고
회식 자리에서는 무조건 지켜야 해.,당위적 사고
문서는 반드시 계획해야 해.,당위적 사고
방문객 응대는 무조건 보고해야 해.,당위적 사고
보고서는 절대 늦으면 안 돼.,당위적 사고
인사말은 무조건 지켜야 해.,당위적 사고
출근할 때는 무조건 답장해야 해.,당위적 사고
팀원 교육은 무조건 지켜야 해.,당위적 사고
업무 지시는 항상 제시간에 해야 해.,당위적 사고
외부 미팅에는 항상 협력해야 해.,당위적 사고
보고 시간은 항상 준비해야 해.,당위적 사고
상사와 대화할 때는 반드시 기록해야 해.,당위적 사고
팀원 교육은 반드시 따라야 해.,당위적 사고
회의 전에는 반드시 서둘러야 해.,당위적 사고
업무 평가에는 절대 잊으면 안 돼.,당위적 사고
회식에서는 반드시 기록해야 해.,당위적 사고
프레젠테이션은 절대 실수하면 안 돼.,당위적 사고
야근할 때는 절대 늦으면 안 돼.,당위적 사고
상사의 지시에는 무조건 실천해야 해.,당위적 사고
회식에서는 반드시 확인해야 해.,당위적 사고
프로젝트 보고는 항상 정리해야 해.,당위적 사고
회의록은 항상 정리해야 해.,당위적 사고
퇴근 전에는 무조건 실천해야 해.,당위적 사고
업무 계획은 무조건 보고해야 해.,당위적 사고
세금 보고는 무조건 지켜야 해.,당위적 사고
출근 시간에는 무조건 완벽해야 해.,당위적 사고
업무 시간에는 항상 정리해야 해.,당위적 사고
회의 일정은 항상 정리해야 해.,당위적 사고
업무 계획은 항상 준비해야 해.,당위적 사고
작업 지시는 항상 준비해야 해.,당위적 사고
업무 보고는 절대 잊으면 안 돼.,당위적 사고
프로젝트 일정은 반드시 미리 준비해야 해.,당위적 사고
고객 응대는 항상 협력해야 해.,당위적 사고
프로모션 준비는 무조건 완벽해야 해.,당위적 사고
협업에서는 항상 예의를 지켜야 해.,당위적 사고
상사의 지시에는 항상 존중해야 해.,당위적 사고
퇴근 전에는 반드시 미리 준비해야 해.,당위적 사고
이메일은 항상 존중해야 해.,당위적 사고
업무 평가에는 반드시 체크해야 해.,당위적 사고
업무 보고는 항상 준비해야 해.,당위적 사고
결과 보고는 반드시 기록해야 해.,당위적 사고
이메일은 무조건 집중해야 해.,당위적 사고
상사와 대화할 때는 무조건 답장해야 해.,당위적 사고
방문객 응대는 반드시 미리 준비해야 해.,당위적 사고
프레젠테이션은 무조건 답장해야 해.,당위적 사고
프로젝트 회의는 무조건 실천해야 해.,당위적 사고
사무실에서는 반드시 미리 준비해야 해.,당위적 사고
업무 시간에는 무조건 보고해야 해.,당위적 사고
팀원 교육은 무조건 집중해야 해.,당위적 사고
고객 응대는 반드시 미리 준비해야 해.,당위적 사고
인사말은 무조건 실천해야 해.,당위적 사고
회의에는 반드시 따라야 해.,당위적 사고
고객 미팅은 절대 늦으면 안 돼.,당위적 사고
업무 계획은 항상 정리해야 해.,당위적 사고
사무실에서는 반드시 기록해야 해.,당위적 사고
보고서는 항상 예의를 지켜야 해.,당위적 사고
업무 일정은 무조건 보고해야 해.,당위적 사고
업무 보고는 항상 예의를 지켜야 해.,당위적 사고
프레젠테이션은 무조건 실천해야 해.,당위적 사고
회식에서는 무조건 집중해야 해.,당위적 사고
업무 계획은 반드시 체크해야 해.,당위적 사고
팀 미팅은 항상 정리해야 해.,당위적 사고
출근 시간에는 반드시 기록해야 해.,당위적 사고
결과 보고는 반드시 계획해야 해.,당위적 사고
사무실에서는 반드시 서둘러야 해.,당위적 사고
야근할 때는 항상 제시간에 해야 해.,당위적 사고
방문객 응대는 절대 잊으면 안 돼.,당위적 사고
작업 공간은 무조건 집중해야 해.,당위적 사고
팀 미팅은 항상 준비해야 해.,당위적 사고
