text,label
팀이 프로젝트에서 실패한 건 다 내 탓이야.,개인화
팀이 프로젝트에서 실패한 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀이 프로젝트에서 실패한 거야.,개인화
회의가 지루해진 건 다 내 탓이야.,개인화
회의가 지루해진 건 내 잘못이야.,개인화
내가 제대로 못 해서 회의가 지루해진 거야.,개인화
상사가 나를 질책한 건 다 내 탓이야.,개인화
상사가 나를 질책한 건 내 잘못이야.,개인화
내가 제대로 못 해서 상사가 나를 질책한 거야.,개인화
고객이 불만을 제기한 건 다 내 탓이야.,개인화
고객이 불만을 제기한 건 내 잘못이야.,개인화
내가 제대로 못 해서 고객이 불만을 제기한 거야.,개인화
동료가 회사를 떠난 건 다 내 탓이야.,개인화
동료가 회사를 떠난 건 내 잘못이야.,개인화
내가 제대로 못 해서 동료가 회사를 떠난 거야.,개인화
회사 매출이 떨어진 건 다 내 탓이야.,개인화
회사 매출이 떨어진 건 내 잘못이야.,개인화
내가 제대로 못 해서 회사 매출이 떨어진 거야.,개인화
내 발표가 재미없었던 건 다 내 탓이야.,개인화
내 발표가 재미없었던 건 내 잘못이야.,개인화
내가 제대로 못 해서 내 발표가 재미없었던 거야.,개인화
프로젝트 일정이 지연된 건 다 내 탓이야.,개인화
프로젝트 일정이 지연된 건 내 잘못이야.,개인화
내가 제대로 못 해서 프로젝트 일정이 지연된 거야.,개인화
팀 분위기가 안 좋아진 건 다 내 탓이야.,개인화
팀 분위기가 안 좋아진 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀 분위기가 안 좋아진 거야.,개인화
회의에서 분위기가 싸해진 건 다 내 탓이야.,개인화
회의에서 분위기가 싸해진 건 내 잘못이야.,개인화
내가 제대로 못 해서 회의에서 분위기가 싸해진 거야.,개인화
회사 채용에서 내가 탈락한 건 다 내 탓이야.,개인화
회사 채용에서 내가 탈락한 건 내 잘못이야.,개인화
내가 제대로 못 해서 회사 채용에서 내가 탈락한 거야.,개인화
팀원들이 지친 건 다 내 탓이야.,개인화
팀원들이 지친 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀원들이 지친 거야.,개인화
직장에서 긴장감이 높아진 건 다 내 탓이야.,개인화
직장에서 긴장감이 높아진 건 내 잘못이야.,개인화
내가 제대로 못 해서 직장에서 긴장감이 높아진 거야.,개인화
보고서가 부족했던 건 다 내 탓이야.,개인화
보고서가 부족했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 보고서가 부족했던 거야.,개인화
프레젠테이션이 엉망이었던 건 다 내 탓이야.,개인화
프레젠테이션이 엉망이었던 건 내 잘못이야.,개인화
내가 제대로 못 해서 프레젠테이션이 엉망이었던 거야.,개인화
업무가 늦어진 건 다 내 탓이야.,개인화
업무가 늦어진 건 내 잘못이야.,개인화
내가 제대로 못 해서 업무가 늦어진 거야.,개인화
상사가 화를 낸 건 다 내 탓이야.,개인화
상사가 화를 낸 건 내 잘못이야.,개인화
내가 제대로 못 해서 상사가 화를 낸 거야.,개인화
성과가 낮았던 건 다 내 탓이야.,개인화
성과가 낮았던 건 내 잘못이야.,개인화
내가 제대로 못 해서 성과가 낮았던 거야.,개인화
출장이 길어진 건 다 내 탓이야.,개인화
출장이 길어진 건 내 잘못이야.,개인화
내가 제대로 못 해서 출장이 길어진 거야.,개인화
출근길이 막혔던 건 다 내 탓이야.,개인화
출근길이 막혔던 건 내 잘못이야.,개인화
내가 제대로 못 해서 출근길이 막혔던 거야.,개인화
회의 자료가 잘못 준비된 건 다 내 탓이야.,개인화
회의 자료가 잘못 준비된 건 내 잘못이야.,개인화
내가 제대로 못 해서 회의 자료가 잘못 준비된 거야.,개인화
프로젝트 예산이 줄어든 건 다 내 탓이야.,개인화
프로젝트 예산이 줄어든 건 내 잘못이야.,개인화
내가 제대로 못 해서 프로젝트 예산이 줄어든 거야.,개인화
새로운 계약을 놓친 건 다 내 탓이야.,개인화
새로운 계약을 놓친 건 내 잘못이야.,개인화
내가 제대로 못 해서 새로운 계약을 놓친 거야.,개인화
내가 승진하지 못한 건 다 내 탓이야.,개인화
내가 승진하지 못한 건 내 잘못이야.,개인화
내가 제대로 못 해서 내가 승진하지 못한 거야.,개인화
팀이 시간을 낭비한 건 다 내 탓이야.,개인화
팀이 시간을 낭비한 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀이 시간을 낭비한 거야.,개인화
회의가 길어진 건 다 내 탓이야.,개인화
회의가 길어진 건 내 잘못이야.,개인화
내가 제대로 못 해서 회의가 길어진 거야.,개인화
동료가 스트레스를 받은 건 다 내 탓이야.,개인화
동료가 스트레스를 받은 건 내 잘못이야.,개인화
내가 제대로 못 해서 동료가 스트레스를 받은 거야.,개인화
업무 연락이 꼬였던 건 다 내 탓이야.,개인화
업무 연락이 꼬였던 건 내 잘못이야.,개인화
내가 제대로 못 해서 업무 연락이 꼬였던 거야.,개인화
나의 메일이 오해를 불러온 건 다 내 탓이야.,개인화
나의 메일이 오해를 불러온 건 내 잘못이야.,개인화
내가 제대로 못 해서 나의 메일이 오해를 불러온 거야.,개인화
프로젝트 목표가 변경된 건 다 내 탓이야.,개인화
프로젝트 목표가 변경된 건 내 잘못이야.,개인화
내가 제대로 못 해서 프로젝트 목표가 변경된 거야.,개인화
팀장이 바뀐 건 다 내 탓이야.,개인화
팀장이 바뀐 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀장이 바뀐 거야.,개인화
팀원들 사이가 어색해진 건 다 내 탓이야.,개인화
팀원들 사이가 어색해진 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀원들 사이가 어색해진 거야.,개인화
고객이 계약을 취소한 건 다 내 탓이야.,개인화
고객이 계약을 취소한 건 내 잘못이야.,개인화
내가 제대로 못 해서 고객이 계약을 취소한 거야.,개인화
회의 시간에 모두가 조용했던 건 다 내 탓이야.,개인화
회의 시간에 모두가 조용했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 회의 시간에 모두가 조용했던 거야.,개인화
실적 보고가 부정확했던 건 다 내 탓이야.,개인화
실적 보고가 부정확했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 실적 보고가 부정확했던 거야.,개인화
프린터가 고장난 건 다 내 탓이야.,개인화
프린터가 고장난 건 내 잘못이야.,개인화
내가 제대로 못 해서 프린터가 고장난 거야.,개인화
업무 일정이 꼬인 건 다 내 탓이야.,개인화
업무 일정이 꼬인 건 내 잘못이야.,개인화
내가 제대로 못 해서 업무 일정이 꼬인 거야.,개인화
회사 장비가 부족했던 건 다 내 탓이야.,개인화
회사 장비가 부족했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 회사 장비가 부족했던 거야.,개인화
프로젝트 회의가 뒤로 밀린 건 다 내 탓이야.,개인화
프로젝트 회의가 뒤로 밀린 건 내 잘못이야.,개인화
내가 제대로 못 해서 프로젝트 회의가 뒤로 밀린 거야.,개인화
상사가 내 의견을 무시한 건 다 내 탓이야.,개인화
상사가 내 의견을 무시한 건 내 잘못이야.,개인화
내가 제대로 못 해서 상사가 내 의견을 무시한 거야.,개인화
직장에서 긴급 상황이 생긴 건 다 내 탓이야.,개인화
직장에서 긴급 상황이 생긴 건 내 잘못이야.,개인화
내가 제대로 못 해서 직장에서 긴급 상황이 생긴 거야.,개인화
팀 동료가 다투었던 건 다 내 탓이야.,개인화
팀 동료가 다투었던 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀 동료가 다투었던 거야.,개인화
팀 빌딩이 취소된 건 다 내 탓이야.,개인화
팀 빌딩이 취소된 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀 빌딩이 취소된 거야.,개인화
업무 협업이 잘 안 된 건 다 내 탓이야.,개인화
업무 협업이 잘 안 된 건 내 잘못이야.,개인화
내가 제대로 못 해서 업무 협업이 잘 안 된 거야.,개인화
고객과의 미팅이 취소된 건 다 내 탓이야.,개인화
고객과의 미팅이 취소된 건 내 잘못이야.,개인화
내가 제대로 못 해서 고객과의 미팅이 취소된 거야.,개인화
새 시스템 도입이 지연된 건 다 내 탓이야.,개인화
새 시스템 도입이 지연된 건 내 잘못이야.,개인화
내가 제대로 못 해서 새 시스템 도입이 지연된 거야.,개인화
나의 실수가 뉴스가 된 건 다 내 탓이야.,개인화
나의 실수가 뉴스가 된 건 내 잘못이야.,개인화
내가 제대로 못 해서 나의 실수가 뉴스가 된 거야.,개인화
회사 분위기가 무거워진 건 다 내 탓이야.,개인화
회사 분위기가 무거워진 건 내 잘못이야.,개인화
내가 제대로 못 해서 회사 분위기가 무거워진 거야.,개인화
팀 회식이 어색했던 건 다 내 탓이야.,개인화
팀 회식이 어색했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀 회식이 어색했던 거야.,개인화
출장 일정이 바뀐 건 다 내 탓이야.,개인화
출장 일정이 바뀐 건 내 잘못이야.,개인화
내가 제대로 못 해서 출장 일정이 바뀐 거야.,개인화
회사 내 이직이 늘어난 건 다 내 탓이야.,개인화
회사 내 이직이 늘어난 건 내 잘못이야.,개인화
내가 제대로 못 해서 회사 내 이직이 늘어난 거야.,개인화
회의 준비가 부족했던 건 다 내 탓이야.,개인화
회의 준비가 부족했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 회의 준비가 부족했던 거야.,개인화
상사의 기대에 못 미친 건 다 내 탓이야.,개인화
상사의 기대에 못 미친 건 내 잘못이야.,개인화
내가 제대로 못 해서 상사의 기대에 못 미친 거야.,개인화
나의 업무가 평가 절하된 건 다 내 탓이야.,개인화
나의 업무가 평가 절하된 건 내 잘못이야.,개인화
내가 제대로 못 해서 나의 업무가 평가 절하된 거야.,개인화
팀 프로젝트가 해체된 건 다 내 탓이야.,개인화
팀 프로젝트가 해체된 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀 프로젝트가 해체된 거야.,개인화
동료가 병가를 낸 건 다 내 탓이야.,개인화
동료가 병가를 낸 건 내 잘못이야.,개인화
내가 제대로 못 해서 동료가 병가를 낸 거야.,개인화
외근이 잦아진 건 다 내 탓이야.,개인화
외근이 잦아진 건 내 잘못이야.,개인화
내가 제대로 못 해서 외근이 잦아진 거야.,개인화
주말 근무가 생긴 건 다 내 탓이야.,개인화
주말 근무가 생긴 건 내 잘못이야.,개인화
내가 제대로 못 해서 주말 근무가 생긴 거야.,개인화
팀 예산이 삭감된 건 다 내 탓이야.,개인화
팀 예산이 삭감된 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀 예산이 삭감된 거야.,개인화
업무가 갑자기 늘어난 건 다 내 탓이야.,개인화
업무가 갑자기 늘어난 건 내 잘못이야.,개인화
내가 제대로 못 해서 업무가 갑자기 늘어난 거야.,개인화
회사 규칙이 바뀐 건 다 내 탓이야.,개인화
회사 규칙이 바뀐 건 내 잘못이야.,개인화
내가 제대로 못 해서 회사 규칙이 바뀐 거야.,개인화
내가 회식에 초대받지 못한 건 다 내 탓이야.,개인화
내가 회식에 초대받지 못한 건 내 잘못이야.,개인화
내가 제대로 못 해서 내가 회식에 초대받지 못한 거야.,개인화
팀 회의에 빠뜨린 건 다 내 탓이야.,개인화
팀 회의에 빠뜨린 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀 회의에 빠뜨린 거야.,개인화
업무 중 실수가 번복된 건 다 내 탓이야.,개인화
업무 중 실수가 번복된 건 내 잘못이야.,개인화
내가 제대로 못 해서 업무 중 실수가 번복된 거야.,개인화
프로젝트가 다른 부서로 넘어간 건 다 내 탓이야.,개인화
프로젝트가 다른 부서로 넘어간 건 내 잘못이야.,개인화
내가 제대로 못 해서 프로젝트가 다른 부서로 넘어간 거야.,개인화
회사 서버가 다운된 건 다 내 탓이야.,개인화
회사 서버가 다운된 건 내 잘못이야.,개인화
내가 제대로 못 해서 회사 서버가 다운된 거야.,개인화
신입이 적응을 못한 건 다 내 탓이야.,개인화
신입이 적응을 못한 건 내 잘못이야.,개인화
내가 제대로 못 해서 신입이 적응을 못한 거야.,개인화
외주 업체가 늦었던 건 다 내 탓이야.,개인화
외주 업체가 늦었던 건 내 잘못이야.,개인화
내가 제대로 못 해서 외주 업체가 늦었던 거야.,개인화
상사의 지시가 자주 바뀐 건 다 내 탓이야.,개인화
상사의 지시가 자주 바뀐 건 내 잘못이야.,개인화
내가 제대로 못 해서 상사의 지시가 자주 바뀐 거야.,개인화
팀 목표가 모호했던 건 다 내 탓이야.,개인화
팀 목표가 모호했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀 목표가 모호했던 거야.,개인화
내가 아이디어를 못 낸 건 다 내 탓이야.,개인화
내가 아이디어를 못 낸 건 내 잘못이야.,개인화
내가 제대로 못 해서 내가 아이디어를 못 낸 거야.,개인화
직장에서 웃음이 사라진 건 다 내 탓이야.,개인화
직장에서 웃음이 사라진 건 내 잘못이야.,개인화
내가 제대로 못 해서 직장에서 웃음이 사라진 거야.,개인화
회의가 취소된 건 다 내 탓이야.,개인화
회의가 취소된 건 내 잘못이야.,개인화
내가 제대로 못 해서 회의가 취소된 거야.,개인화
내가 연차를 쓰지 못한 건 다 내 탓이야.,개인화
내가 연차를 쓰지 못한 건 내 잘못이야.,개인화
내가 제대로 못 해서 내가 연차를 쓰지 못한 거야.,개인화
팀원들이 불만을 품은 건 다 내 탓이야.,개인화
팀원들이 불만을 품은 건 내 잘못이야.,개인화
내가 제대로 못 해서 팀원들이 불만을 품은 거야.,개인화
업무 도중 시스템이 멈춘 건 다 내 탓이야.,개인화
업무 도중 시스템이 멈춘 건 내 잘못이야.,개인화
내가 제대로 못 해서 업무 도중 시스템이 멈춘 거야.,개인화
내가 무기력했던 건 다 내 탓이야.,개인화
내가 무기력했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 내가 무기력했던 거야.,개인화
회사에서 소외된 느낌을 받은 건 다 내 탓이야.,개인화
회사에서 소외된 느낌을 받은 건 내 잘못이야.,개인화
내가 제대로 못 해서 회사에서 소외된 느낌을 받은 거야.,개인화
동료가 무관심했던 건 다 내 탓이야.,개인화
동료가 무관심했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 동료가 무관심했던 거야.,개인화
프로젝트 후 평가가 냉정했던 건 다 내 탓이야.,개인화
프로젝트 후 평가가 냉정했던 건 내 잘못이야.,개인화
내가 제대로 못 해서 프로젝트 후 평가가 냉정했던 거야.,개인화
시험에서 좋은 점수를 받지 못한 건 다 내 탓이야.,개인화
시험에서 좋은 점수를 받지 못한 건 내 잘못이야.,개인화
내가 신경을 안 써서 시험에서 좋은 점수를 받지 못한 거야.,개인화
숙제를 늦게 낸 건 다 내 탓이야.,개인화
숙제를 늦게 낸 건 내 잘못이야.,개인화
내가 신경을 안 써서 숙제를 늦게 낸 거야.,개인화
수업에 지각한 건 다 내 탓이야.,개인화
수업에 지각한 건 내 잘못이야.,개인화
내가 신경을 안 써서 수업에 지각한 거야.,개인화
과제를 잊어버린 건 다 내 탓이야.,개인화
과제를 잊어버린 건 내 잘못이야.,개인화
내가 신경을 안 써서 과제를 잊어버린 거야.,개인화
수업 내용이 어려웠던 건 다 내 탓이야.,개인화
수업 내용이 어려웠던 건 내 잘못이야.,개인화
내가 신경을 안 써서 수업 내용이 어려웠던 거야.,개인화
교수님이 화낸 건 다 내 탓이야.,개인화
교수님이 화낸 건 내 잘못이야.,개인화
내가 신경을 안 써서 교수님이 화낸 거야.,개인화
동아리 활동이 지루했던 건 다 내 탓이야.,개인화
동아리 활동이 지루했던 건 내 잘못이야.,개인화
내가 신경을 안 써서 동아리 활동이 지루했던 거야.,개인화
시험 일정이 바뀐 건 다 내 탓이야.,개인화
