text,label
회의에 지각했더니 큰일 났어,과장 및 축소
보고서 제출 기한을 놓쳤더니 나 죽었다 이제,과장 및 축소
프레젠테이션에서 말을 더듬었더니 끝장이야,과장 및 축소
이메일 발송을 누락했더니 망했어,과장 및 축소
예산 계산을 틀렸더니 완전 망했어,과장 및 축소
자료를 준비하지 않았더니 작살났어,과장 및 축소
상사의 지시를 잊어버렸더니 평생 끝났어,과장 및 축소
고객 응대를 실수했더니 진짜 큰일이야,과장 및 축소
프로그램 코드에서 오류를 냈더니 진짜 망했다,과장 및 축소
회의에서 질문에 답하지 못했더니 완전히 끝났어,과장 및 축소
계약서에 서명을 빠뜨렸더니 큰일이다 정말,과장 및 축소
전화 회의를 놓쳤더니 완전 최악이야,과장 및 축소
보고서 파일을 삭제했더니 큰일 났어,과장 및 축소
프로젝트 일정 관리를 잘못했더니 나 죽었다 이제,과장 및 축소
회의 자료에 숫자를 틀렸더니 끝장이야,과장 및 축소
상사에게 메일을 잘못 보냈더니 망했어,과장 및 축소
회의록 작성을 못 했더니 완전 망했어,과장 및 축소
회사 계단에서 넘어졌더니 작살났어,과장 및 축소
복사기를 고장 냈더니 평생 끝났어,과장 및 축소
프린터 잉크를 다 써버렸더니 진짜 큰일이야,과장 및 축소
일정을 캘린더에 안 적었더니 진짜 망했다,과장 및 축소
고객 이름을 틀렸더니 완전히 끝났어,과장 및 축소
자료를 공유하지 못했더니 큰일이다 정말,과장 및 축소
회의 초대 링크를 잘못 보냈더니 완전 최악이야,과장 및 축소
거래처와 약속 시간을 착각했더니 큰일 났어,과장 및 축소
출장 준비물을 빼먹었더니 나 죽었다 이제,과장 및 축소
자료 백업을 안 했더니 끝장이야,과장 및 축소
인사 평가 날짜를 헷갈렸더니 망했어,과장 및 축소
근태 기록을 틀렸더니 완전 망했어,과장 및 축소
결재 서류를 책상에 두고 왔더니 작살났어,과장 및 축소
팀 회식 시간을 잘못 전달했더니 평생 끝났어,과장 및 축소
보고서 표지를 빼먹었더니 진짜 큰일이야,과장 및 축소
회의실 예약을 잊어버렸더니 진짜 망했다,과장 및 축소
재고 숫자를 잘못 입력했더니 완전히 끝났어,과장 및 축소
전화 응대를 놓쳤더니 큰일이다 정말,과장 및 축소
사내 메신저에 답장을 안 했더니 완전 최악이야,과장 및 축소
결재를 진행하지 않았더니 큰일 났어,과장 및 축소
신입 교육을 빠뜨렸더니 나 죽었다 이제,과장 및 축소
연차 신청을 늦게 냈더니 끝장이야,과장 및 축소
자료를 다른 부서에 보냈더니 망했어,과장 및 축소
회의 시간에 휴대폰이 울렸더니 완전 망했어,과장 및 축소
상사의 이름을 틀렸더니 작살났어,과장 및 축소
회의 중에 식사를 했더니 평생 끝났어,과장 및 축소
청소 당번을 잊었더니 진짜 큰일이야,과장 및 축소
회사 명찰을 잃어버렸더니 진짜 망했다,과장 및 축소
스케줄을 잘못 입력했더니 완전히 끝났어,과장 및 축소
회의 중 휴대폰 벨소리가 울렸더니 큰일이다 정말,과장 및 축소
프로젝트 일정 보고를 빼먹었더니 완전 최악이야,과장 및 축소
직원의 생일을 잊어버렸더니 큰일 났어,과장 및 축소
사내 결제 시스템에 오류를 냈더니 나 죽었다 이제,과장 및 축소
작업 파일을 덮어썼더니 끝장이야,과장 및 축소
상사 칭찬을 듣지 못했더니 망했어,과장 및 축소
사내 가이드라인을 잘못 이해했더니 완전 망했어,과장 및 축소
회의 중 졸았더니 작살났어,과장 및 축소
회사 자료를 분실했더니 평생 끝났어,과장 및 축소
팀 메시지를 안 읽었더니 진짜 큰일이야,과장 및 축소
파일 버전을 잘못 공유했더니 진짜 망했다,과장 및 축소
주소를 틀려 택배를 보냈더니 완전히 끝났어,과장 및 축소
회의실을 잘못 예약했더니 큰일이다 정말,과장 및 축소
회식 장소를 착각했더니 완전 최악이야,과장 및 축소
팀원 이름을 헷갈렸더니 큰일 났어,과장 및 축소
문서를 잘못 보관했더니 나 죽었다 이제,과장 및 축소
프레젠테이션에서 음성을 껐더니 끝장이야,과장 및 축소
보고서 서식을 틀렸더니 망했어,과장 및 축소
사내 메일을 외부로 보냈더니 완전 망했어,과장 및 축소
시간 기록을 잊었더니 작살났어,과장 및 축소
상사 메시지를 못 봤더니 평생 끝났어,과장 및 축소
업무 인수인계를 빼먹었더니 진짜 큰일이야,과장 및 축소
프로젝트 업데이트를 안 했더니 진짜 망했다,과장 및 축소
필수 체크리스트를 빠뜨렸더니 완전히 끝났어,과장 및 축소
회의 초대 시간을 잘못 설정했더니 큰일이다 정말,과장 및 축소
서버 로그를 지웠더니 완전 최악이야,과장 및 축소
회사 차량을 긁었더니 큰일 났어,과장 및 축소
사업자 등록증을 잃어버렸더니 나 죽었다 이제,과장 및 축소
거래처 자료를 전달하지 않았더니 끝장이야,과장 및 축소
입력해야 할 데이터를 빼먹었더니 망했어,과장 및 축소
오피스 기물을 파손했더니 완전 망했어,과장 및 축소
표류 프로젝트를 놔뒀더니 작살났어,과장 및 축소
고객에게 잘못된 견적을 보냈더니 평생 끝났어,과장 및 축소
야근을 깜빡했더니 진짜 큰일이야,과장 및 축소
회의를 연기하지 않았더니 진짜 망했다,과장 및 축소
중요한 전화를 놓쳤더니 완전히 끝났어,과장 및 축소
자료를 구글 드라이브에 업로드 안 했더니 큰일이다 정말,과장 및 축소
새로운 툴을 익히지 않았더니 완전 최악이야,과장 및 축소
휴가 일정을 공유하지 않았더니 큰일 났어,과장 및 축소
회사 메신저에 실수로 다른 얘기를 썼더니 나 죽었다 이제,과장 및 축소
영업 보고를 누락했더니 끝장이야,과장 및 축소
부서 보고 메일을 지웠더니 망했어,과장 및 축소
캘린더 초대에서 사람을 제외했더니 완전 망했어,과장 및 축소
회의 시간에 무례하게 말을 가로챘더니 작살났어,과장 및 축소
프로젝트 마감 시간을 착각했더니 평생 끝났어,과장 및 축소
회의 중에 대답을 안 했더니 진짜 큰일이야,과장 및 축소
데이터를 잘못 분석했더니 진짜 망했다,과장 및 축소
사내 강의를 결석했더니 완전히 끝났어,과장 및 축소
업무 키워드를 잘못 입력했더니 큰일이다 정말,과장 및 축소
설문 결과를 놓쳤더니 완전 최악이야,과장 및 축소
인턴을 교육하지 않았더니 큰일 났어,과장 및 축소
장기 프로젝트 계획서를 분실했더니 나 죽었다 이제,과장 및 축소
중요한 서류에 커피를 흘렸더니 끝장이야,과장 및 축소
고객이 원하는 내용과 다른 제안을 했더니 망했어,과장 및 축소
프로젝트 예산 책정을 빼먹었더니 완전 망했어,과장 및 축소
시스템 업데이트를 연기했더니 작살났어,과장 및 축소
프로젝트 관련 파일명을 틀렸더니 평생 끝났어,과장 및 축소
부서장 승인 요청을 못 했더니 진짜 큰일이야,과장 및 축소
종이 서류를 제때 넘기지 않았더니 진짜 망했다,과장 및 축소
전산 시스템을 꺼버렸더니 완전히 끝났어,과장 및 축소
보안 규정을 위반했더니 큰일이다 정말,과장 및 축소
회식 비용 정산을 늦췄더니 완전 최악이야,과장 및 축소
부서 회의에 늦었더니 큰일 났어,과장 및 축소
책상 정리를 안 했더니 나 죽었다 이제,과장 및 축소
회의 자료를 프린트하지 않았더니 끝장이야,과장 및 축소
사내 공지를 빼먹었더니 망했어,과장 및 축소
제안서를 허술하게 작성했더니 완전 망했어,과장 및 축소
선배님의 지시를 늦게 알아챘더니 작살났어,과장 및 축소
예산 승인을 제때 요청하지 않았더니 평생 끝났어,과장 및 축소
사내 마감일을 착각했더니 진짜 큰일이야,과장 및 축소
중요한 파일을 휴지통에 넣었더니 진짜 망했다,과장 및 축소
원격 회의에서 화면 공유를 안 했더니 완전히 끝났어,과장 및 축소
프로젝트 요약을 메일에 포함하지 않았더니 큰일이다 정말,과장 및 축소
부서원들의 자료를 취합하지 않았더니 완전 최악이야,과장 및 축소
보고서를 완벽하게 작성했는데 별거 아니야,과장 및 축소
회의에서 건설적인 아이디어를 냈는데 아무것도 아니야,과장 및 축소
고객에게 칭찬받았는데 대수롭지 않아,과장 및 축소
상사에게 칭찬을 들었는데 별 의미 없어,과장 및 축소
프로젝트를 성공적으로 마무리했는데 별로 기쁘지 않아,과장 및 축소
신제품 출시를 성공시켰는데 하찮아,과장 및 축소
매출 목표를 달성했는데 소용없어,과장 및 축소
팀워크를 빛냈는데 아무 느낌 없어,과장 및 축소
마감 전에 일을 끝냈는데 그냥 그래,과장 및 축소
회사 상을 받았는데 별로 중요하지 않아,과장 및 축소
거래처와 계약을 성사시켰는데 별 일 아니야,과장 및 축소
야근 없이 일을 마쳤는데 신경 쓸 거 아니야,과장 및 축소
새로운 툴을 빠르게 익혔는데 별거 아니야,과장 및 축소
팀원들이 내 아이디어를 지지했는데 아무것도 아니야,과장 및 축소
회의를 효과적으로 진행했는데 대수롭지 않아,과장 및 축소
고객 불만을 해결했는데 별 의미 없어,과장 및 축소
보고서에서 오류가 없었는데 별로 기쁘지 않아,과장 및 축소
일정을 잘 관리했는데 하찮아,과장 및 축소
프로젝트 리더로 인정받았는데 소용없어,과장 및 축소
신입 교육을 잘 했는데 아무 느낌 없어,과장 및 축소
고객 설득에 성공했는데 그냥 그래,과장 및 축소
프로젝트 예산을 절약했는데 별로 중요하지 않아,과장 및 축소
기한 전에 계획을 완성했는데 별 일 아니야,과장 및 축소
회의 진행을 매끄럽게 했는데 신경 쓸 거 아니야,과장 및 축소
프레젠테이션을 잘 했는데 별거 아니야,과장 및 축소
출장을 성공적으로 마쳤는데 아무것도 아니야,과장 및 축소
효율적인 업무 프로세스를 만들었는데 대수롭지 않아,과장 및 축소
팀을 잘 이끌었는데 별 의미 없어,과장 및 축소
신제품 아이디어를 냈는데 별로 기쁘지 않아,과장 및 축소
업무를 자동화했는데 하찮아,과장 및 축소
주말 근무를 피했는데 소용없어,과장 및 축소
장기 계획을 세웠는데 아무 느낌 없어,과장 및 축소
팀 내 갈등을 해결했는데 그냥 그래,과장 및 축소
건설적 피드백을 했는데 별로 중요하지 않아,과장 및 축소
예산 관리에 성공했는데 별 일 아니야,과장 및 축소
데이터 분석에 성공했는데 신경 쓸 거 아니야,과장 및 축소
동료를 도왔는데 별거 아니야,과장 및 축소
회의록을 잘 작성했는데 아무것도 아니야,과장 및 축소
고객사와 협상을 잘 했는데 대수롭지 않아,과장 및 축소
후배를 mentoring 했는데 별 의미 없어,과장 및 축소
사내 발표에서 호평을 받았는데 별로 기쁘지 않아,과장 및 축소
작업 효율을 높였는데 하찮아,과장 및 축소
문제 해결에 기여했는데 소용없어,과장 및 축소
