text,label
상사가 이번 보고서 잘했다고 칭찬했지만 그건 그냥 운이 좋았던 것뿐이야.,긍정 무시
상사가 이번 보고서 잘했다고 칭찬했지만 그건 우연히 맞아떨어진 거지 내가 잘해서 된 게 아니야.,긍정 무시
상사가 이번 보고서 잘했다고 칭찬했지만 사람들이 분위기 맞추려고 한 말일 뿐이야.,긍정 무시
상사가 이번 보고서 잘했다고 칭찬했지만 그냥 다들 격려하려고 한 얘기야.,긍정 무시
상사가 이번 보고서 잘했다고 칭찬했지만 그건 타이밍이 좋았던 것뿐이야.,긍정 무시
상사가 이번 보고서 잘했다고 칭찬했지만 사실 아무나 해도 되는 일이었어.,긍정 무시
상사가 이번 보고서 잘했다고 칭찬했지만 내가 한 일이 아니라 다른 사람이 도와줘서 가능했던 거야.,긍정 무시
상사가 이번 보고서 잘했다고 칭찬했지만 그저 상황이 좋아서 된 거야.,긍정 무시
프로젝트를 성공적으로 마쳤다고 모두 칭찬했지만 그건 그냥 운이 좋았던 것뿐이야.,긍정 무시
프로젝트를 성공적으로 마쳤다고 모두 칭찬했지만 그건 우연히 맞아떨어진 거지 내가 잘해서 된 게 아니야.,긍정 무시
프로젝트를 성공적으로 마쳤다고 모두 칭찬했지만 사람들이 분위기 맞추려고 한 말일 뿐이야.,긍정 무시
프로젝트를 성공적으로 마쳤다고 모두 칭찬했지만 그냥 다들 격려하려고 한 얘기야.,긍정 무시
프로젝트를 성공적으로 마쳤다고 모두 칭찬했지만 그건 타이밍이 좋았던 것뿐이야.,긍정 무시
프로젝트를 성공적으로 마쳤다고 모두 칭찬했지만 사실 아무나 해도 되는 일이었어.,긍정 무시
프로젝트를 성공적으로 마쳤다고 모두 칭찬했지만 내가 한 일이 아니라 다른 사람이 도와줘서 가능했던 거야.,긍정 무시
프로젝트를 성공적으로 마쳤다고 모두 칭찬했지만 그저 상황이 좋아서 된 거야.,긍정 무시
팀장이 나를 모범직원이라고 불렀지만 그건 그냥 운이 좋았던 것뿐이야.,긍정 무시
팀장이 나를 모범직원이라고 불렀지만 그건 우연히 맞아떨어진 거지 내가 잘해서 된 게 아니야.,긍정 무시
팀장이 나를 모범직원이라고 불렀지만 사람들이 분위기 맞추려고 한 말일 뿐이야.,긍정 무시
팀장이 나를 모범직원이라고 불렀지만 그냥 다들 격려하려고 한 얘기야.,긍정 무시
팀장이 나를 모범직원이라고 불렀지만 그건 타이밍이 좋았던 것뿐이야.,긍정 무시
팀장이 나를 모범직원이라고 불렀지만 사실 아무나 해도 되는 일이었어.,긍정 무시
팀장이 나를 모범직원이라고 불렀지만 내가 한 일이 아니라 다른 사람이 도와줘서 가능했던 거야.,긍정 무시
팀장이 나를 모범직원이라고 불렀지만 그저 상황이 좋아서 된 거야.,긍정 무시
이번 달 실적이 목표를 넘어섰다며 모두 축하해줬지만 그건 그냥 운이 좋았던 것뿐이야.,긍정 무시
이번 달 실적이 목표를 넘어섰다며 모두 축하해줬지만 그건 우연히 맞아떨어진 거지 내가 잘해서 된 게 아니야.,긍정 무시
이번 달 실적이 목표를 넘어섰다며 모두 축하해줬지만 사람들이 분위기 맞추려고 한 말일 뿐이야.,긍정 무시
이번 달 실적이 목표를 넘어섰다며 모두 축하해줬지만 그냥 다들 격려하려고 한 얘기야.,긍정 무시
