text,label
일정을 하루라도 넘기면 나를 해고할 거야.,이분법적 사고
일정을 절대 늦추면 나는 이 회사에서 절대 인정받지 못해.,이분법적 사고
프로젝트 일정이 조금이라도 미뤄지면 나는 항상 실패하는구나.,이분법적 사고
일감을 완벽히 처리하지 않으면 일을 못 하는 사람인 거야.,이분법적 사고
업무를 먼저 끝내지 않으면 이 직업은 나한테 아무 의미가 없어.,이분법적 사고
보고서가 하루라도 늦으면 아무 의미가 없어.,이분법적 사고
회식에서 주목을 받지 못하면 완전히 실패한 거야.,이분법적 사고
성과가 조금이라도 떨어지면 나는 이 회사에서 절대 인정받지 못해.,이분법적 사고
프레젠테이션이 완벽하지 않으면 나를 해고할 거야.,이분법적 사고
회사의 정책을 한 번이라도 모르면 나는 항상 실패하는구나.,이분법적 사고
프레젠테이션에서 질문을 모두 답하지 못하면 완전히 실패한 거야.,이분법적 사고
한 번이라도 도움을 받으면 이 직업은 나한테 아무 의미가 없어.,이분법적 사고
한 번이라도 도움을 받으면 아무 의미가 없어.,이분법적 사고
보고서 형식이 완벽하지 않으면 나를 해고할 거야.,이분법적 사고
고객이 한 번이라도 불평하면 나는 이 회사에서 절대 인정받지 못해.,이분법적 사고
커뮤니케이션이 항상 완벽하지 않으면 나는 절대 성공할 수 없어.,이분법적 사고
야근을 안 하면 전부 망친 거야.,이분법적 사고
보고서 내용이 완벽히 맞지 않으면 나를 해고할 거야.,이분법적 사고
성과가 조금이라도 떨어지면 이 직업은 나한테 아무 의미가 없어.,이분법적 사고
오타를 한 번이라도 내면 완전히 실패한 거야.,이분법적 사고
회의에서 말을 한 번 못하면 아무 의미가 없어.,이분법적 사고
회의록을 한 번이라도 놓치면 나는 무능한 사람이라고 느껴.,이분법적 사고
상사가 칭찬해주지 않으면 나는 항상 실패하는구나.,이분법적 사고
문서를 완벽히 정리하지 않으면 나는 쓸모없는 존재야.,이분법적 사고
서류를 한 장이라도 잊어버리면 나는 이 회사에서 절대 인정받지 못해.,이분법적 사고
회식에서 주목을 받지 못하면 아무 의미가 없어.,이분법적 사고
연봉 협상에서 실패하면 내 커리어는 끝이야.,이분법적 사고
상사가 칭찬해주지 않으면 아무 의미가 없어.,이분법적 사고
야근을 한 번이라도 거절하면 더 이상 희망이 없어.,이분법적 사고
실적이 항상 최고가 아니면 아무 의미가 없어.,이분법적 사고
상사가 칭찬해주지 않으면 내 커리어는 끝이야.,이분법적 사고
회의 준비를 완벽히 하지 않으면 더 이상 희망이 없어.,이분법적 사고
실적이 항상 최고가 아니면 나는 항상 실패하는구나.,이분법적 사고
상사가 칭찬해주지 않으면 이 직업은 나한테 아무 의미가 없어.,이분법적 사고
회식에서 주목을 받지 못하면 나는 이 회사에서 절대 인정받지 못해.,이분법적 사고
질문에 대답을 못하면 아무 의미가 없어.,이분법적 사고
프레젠테이션이 완벽하지 않으면 나는 무능한 사람이라고 느껴.,이분법적 사고
상사가 칭찬해주지 않으면 전부 포기해야 해.,이분법적 사고
회의에서 말을 한 번 못하면 나는 항상 실패하는구나.,이분법적 사고
신입을 한 번이라도 제대로 가르치지 못하면 아무 의미가 없어.,이분법적 사고
업무 효율이 항상 최고가 아니면 나를 해고할 거야.,이분법적 사고
서류를 한 장이라도 잊어버리면 일을 못 하는 사람인 거야.,이분법적 사고
신입을 한 번이라도 제대로 가르치지 못하면 나는 항상 실패하는구나.,이분법적 사고
오타를 한 번이라도 내면 나는 절대 성공할 수 없어.,이분법적 사고
결과가 100%가 아니면 완벽하지 못한 나로서는 가치가 없어.,이분법적 사고
야근 없이는 일을 끝내지 못하면 일을 못 하는 사람인 거야.,이분법적 사고
프로젝트가 완벽하지 않으면 더 이상 희망이 없어.,이분법적 사고
질문에 대답을 못하면 나를 해고할 거야.,이분법적 사고
프로젝트 리더가 되지 못하면 아무 의미가 없어.,이분법적 사고
상사가 미소를 짓지 않으면 이 직업은 나한테 아무 의미가 없어.,이분법적 사고
커뮤니케이션이 항상 완벽하지 않으면 나를 해고할 거야.,이분법적 사고
일정을 하루라도 넘기면 더 이상 희망이 없어.,이분법적 사고
서류 정리에 실수를 하면 내 커리어는 끝이야.,이분법적 사고
상사가 칭찬해주지 않으면 전부 망친 거야.,이분법적 사고
서류를 한 장이라도 잊어버리면 내 커리어는 끝이야.,이분법적 사고
승진 시험에서 떨어지면 일을 못 하는 사람인 거야.,이분법적 사고
야근을 안 하면 더 이상 희망이 없어.,이분법적 사고
동료보다 늦게 퇴근하면 전부 포기해야 해.,이분법적 사고
지각을 단 한 번이라도 하면 이 직업은 나한테 아무 의미가 없어.,이분법적 사고
서류 정리에 실수를 하면 완전히 실패한 거야.,이분법적 사고
지각을 단 한 번이라도 하면 나를 해고할 거야.,이분법적 사고
야근 없이는 일을 끝내지 못하면 나는 절대 성공할 수 없어.,이분법적 사고
회식에서 주목을 받지 못하면 나는 무능한 사람이라고 느껴.,이분법적 사고
보고서가 조금만 틀리면 나는 쓸모없는 존재야.,이분법적 사고
회사의 정책을 한 번이라도 모르면 일을 못 하는 사람인 거야.,이분법적 사고
일정을 하루라도 넘기면 완벽하지 못한 나로서는 가치가 없어.,이분법적 사고
서류를 한 장이라도 잊어버리면 전부 망친 거야.,이분법적 사고
보고서가 조금만 틀리면 나를 해고할 거야.,이분법적 사고
상사가 지적하면 나는 항상 실패하는구나.,이분법적 사고
자료를 조금이라도 놓치면 나는 쓸모없는 존재야.,이분법적 사고
메일 답장을 바로 보내지 않으면 이 직업은 나한테 아무 의미가 없어.,이분법적 사고
연봉 협상에서 실패하면 더 이상 희망이 없어.,이분법적 사고
회의 준비를 완벽히 하지 않으면 전부 망친 거야.,이분법적 사고
보고서 내용이 완벽히 맞지 않으면 나는 쓸모없는 존재야.,이분법적 사고
