text,label
리더는 분명 나를 무능한 사람으로 볼 거야.,성급한 결론
부장님은 나를 새 프로젝트에서 빼버릴 거야.,성급한 결론
매니저는 내 질문을 어리석다고 느낄 게 틀림없어.,성급한 결론
사장님은 회의에 나를 부르지 않을 거야.,성급한 결론
상사는 나를 게으르다고 생각할 거야.,성급한 결론
사장님은 나를 새 프로젝트에서 빼버릴 거야.,성급한 결론
고객은 틀림없이 나를 불성실하다고 생각할 거야.,성급한 결론
리더는 내 보고서를 우습게 볼 거야.,성급한 결론
사장님은 나를 신뢰하지 않을 거야.,성급한 결론
동료들은 나를 뒤에서 비웃을 게 틀림없어.,성급한 결론
매니저는 나를 치울 생각을 하고 있을 게 틀림없어.,성급한 결론
고객은 이번 실수를 내 탓으로만 돌릴 거야.,성급한 결론
리더는 다음 보고도 듣지 않을 게 틀림없어.,성급한 결론
상사는 나에게 낮은 평가를 줄 거야.,성급한 결론
상사는 나를 성가신 존재로 여길 게 틀림없어.,성급한 결론
리더는 나를 승진에서 제외할 거야.,성급한 결론
부장님은 나를 해고하려 할 거야.,성급한 결론
고객은 나에게 낮은 평가를 줄 게 틀림없어.,성급한 결론
고객은 나를 평가 절하할 게 틀림없어.,성급한 결론
동료들은 분명 중요한 회의에서 나를 제외할 거야.,성급한 결론
상사는 나를 존중하지 않을 거야.,성급한 결론
매니저는 나를 게으르다고 생각할 거야.,성급한 결론
프로젝트 매니저는 나를 괴롭히려 할 거야.,성급한 결론
리더는 내 이야기를 듣지 않을 거야.,성급한 결론
팀장은 나를 팀에서 빼고 싶어 할 거야.,성급한 결론
팀장은 나를 게으르다고 생각할 게 틀림없어.,성급한 결론
사장님은 분명 나를 프로젝트에서 제외할 거야.,성급한 결론
상사는 내가 없는 동안 더 잘될 거라 생각할 거야.,성급한 결론
고객은 내 경험을 무시할 게 틀림없어.,성급한 결론
리더는 틀림없이 나를 해고하려 할 거야.,성급한 결론
팀원들은 이번 실수를 내 탓으로만 돌릴 거야.,성급한 결론
리더는 나를 뒤에서 비웃을 게 틀림없어.,성급한 결론
고객은 나를 성가신 존재로 여길 게 틀림없어.,성급한 결론
동료들은 다음 보고도 듣지 않을 거야.,성급한 결론
프로젝트 매니저는 나를 게으르다고 생각할 거야.,성급한 결론
팀원들은 이번 성과를 인정하지 않을 거야.,성급한 결론
사장님은 내 경험을 무시할 게 틀림없어.,성급한 결론
매니저는 나를 부담스러워 할 거야.,성급한 결론
부장님은 분명 내가 열심히 하지 않는다고 생각할 거야.,성급한 결론
사장님은 내 보고서를 우습게 볼 거야.,성급한 결론
팀장은 내 경험을 무시할 거야.,성급한 결론
상사는 중요한 회의에서 나를 제외할 거야.,성급한 결론
팀원들은 나를 인정하지 않을 거야.,성급한 결론
매니저는 틀림없이 나를 인정하지 않을 거야.,성급한 결론
고객은 틀림없이 내 의견을 비웃을 거야.,성급한 결론
상사는 나를 괴롭히려 할 게 틀림없어.,성급한 결론
동료들은 내 보고서를 우습게 볼 게 틀림없어.,성급한 결론
매니저는 틀림없이 내 성과를 가로챌 거야.,성급한 결론
상사는 나를 해고하려 할 거야.,성급한 결론
프로젝트 매니저는 내가 자주 실수한다고 느낄 게 틀림없어.,성급한 결론
매니저는 나를 팀에서 빼고 싶어 할 게 틀림없어.,성급한 결론
매니저는 분명 나를 괴롭히려 할 거야.,성급한 결론
고객은 나를 무시할 거야.,성급한 결론
상사는 나를 새 프로젝트에서 빼버릴 게 틀림없어.,성급한 결론
팀장은 내 능력을 의심할 게 틀림없어.,성급한 결론
사장님은 분명히 나를 해고하려 할 거야.,성급한 결론
동료들은 내 경험을 무시할 게 틀림없어.,성급한 결론
프로젝트 매니저는 회식에 나를 부르지 않을 게 틀림없어.,성급한 결론
프로젝트 매니저는 내 아이디어를 우습게 볼 거야.,성급한 결론
동료들은 나를 괴롭히려 할 거야.,성급한 결론
프로젝트 매니저는 분명히 나를 해고하려 할 거야.,성급한 결론
리더는 나를 허락 없이 밀어낼 거야.,성급한 결론
부장님은 내가 없는 동안 더 잘될 거라 생각할 거야.,성급한 결론
고객은 내 보고서를 우습게 볼 게 틀림없어.,성급한 결론
리더는 분명히 나를 팀의 약점으로 볼 거야.,성급한 결론
리더는 내가 자주 실수한다고 느낄 거야.,성급한 결론
프로젝트 매니저는 틀림없이 나에게 지시하지 않을 거야.,성급한 결론
팀원들은 나를 새 프로젝트에서 빼버릴 거야.,성급한 결론
매니저는 나를 팀의 약점으로 볼 거야.,성급한 결론
사장님은 나를 승진에서 제외할 거야.,성급한 결론
프로젝트 매니저는 나를 무책임하다고 생각할 거야.,성급한 결론
동료들은 나를 미덥지 않게 생각할 게 틀림없어.,성급한 결론
상사는 분명히 나를 승진에서 제외할 거야.,성급한 결론
동료들은 내 성과를 가로챌 거야.,성급한 결론
팀원들은 다음 보고도 듣지 않을 게 틀림없어.,성급한 결론
고객은 분명히 내가 자주 실수한다고 느낄 거야.,성급한 결론
고객은 나를 무책임하다고 생각할 거야.,성급한 결론
매니저는 중요한 회의에서 나를 제외할 거야.,성급한 결론
매니저는 나를 승진에서 제외할 거야.,성급한 결론
프로젝트 매니저는 나를 팀의 약점으로 볼 게 틀림없어.,성급한 결론
상사는 나를 프로젝트에서 제외할 거야.,성급한 결론
팀장은 내 질문을 어리석다고 느낄 거야.,성급한 결론
팀원들은 나를 괴롭히려 할 거야.,성급한 결론
팀원들은 내가 이해 못했다고 생각할 게 틀림없어.,성급한 결론
동료들은 내가 열심히 하지 않는다고 생각할 거야.,성급한 결론
상사는 회식에 나를 부르지 않을 거야.,성급한 결론
동료들은 회의에 나를 부르지 않을 거야.,성급한 결론
리더는 나에게 낮은 평가를 줄 거야.,성급한 결론
프로젝트 매니저는 이번 성과를 인정하지 않을 거야.,성급한 결론
