text,label
이번에도 프레젠테이션에서 질문을 못 받았으니 또 이런 일이 반복될 거야.,과잉일반화
이번에도 일정 변경이 생겼으니 앞으로도 계속 이런 실수를 할 거야.,과잉일반화
이번에도 고객 응대가 서툴렀으니 매번 이런 결과가 이어질 거야.,과잉일반화
이번에도 야근하다 지쳤으니 매번 이런 결과가 이어질 거야.,과잉일반화
이번에도 팀장이 화를 냈으니 계속 실패만 할 거라는 생각이 들어.,과잉일반화
이번에도 프로젝트 일정이 길어졌으니 앞으로도 계속 이런 실수를 할 거야.,과잉일반화
또 동료보다 성과가 낮았으니 언제나 이런 결과만 나올 거야.,과잉일반화
이번에도 팀장이 화를 냈으니 이번에도 그랬으니 계속 그럴 거야.,과잉일반화
이번 회의도 지각했으니 어차피 반복되는 거겠지.,과잉일반화
지난번 프로젝트도 실패했으니 언제나 이런 결과만 나올 거야.,과잉일반화
이번에도 승진을 놓쳤으니 어차피 반복되는 거겠지.,과잉일반화
이번에도 사소한 오류를 못 봤으니 앞으로도 계속 이런 실수를 할 거야.,과잉일반화
이번에도 팀원들과 소통이 안 됐으니 또 이런 일이 반복될 거야.,과잉일반화
이번에도 회의 자료를 잘못 준비했으니 앞으로도 매번 이렇게 될 거야.,과잉일반화
이번에도 야근을 못 했으니 결국 이렇게만 흘러갈 것 같아.,과잉일반화
이번에도 준비한 자료가 부족했으니 또 이런 일이 반복될 거야.,과잉일반화
또 업무 목표를 놓쳤으니 어차피 반복되는 거겠지.,과잉일반화
또 회식에서 말이 없었으니 매번 이런 결과가 이어질 거야.,과잉일반화
또 사소한 실수를 했으니 이제 항상 이런 식일 거야.,과잉일반화
이번에도 메신저 답장이 늦었으니 앞으로도 계속 이런 실수를 할 거야.,과잉일반화
이번에도 준비한 자료가 부족했으니 항상 그랬으니 앞으로도 그럴 거야.,과잉일반화
또 상사가 표정을 찌푸렸으니 앞으로도 좋은 일은 없겠지.,과잉일반화
또 자료 공유를 깜빡했으니 언제나 이런 결과만 나올 거야.,과잉일반화
이번에도 서류를 늦게 냈으니 이번에도 그랬으니 계속 그럴 거야.,과잉일반화
또 회의록을 늦게 정리했으니 매번 이런 결과가 이어질 거야.,과잉일반화
이번에도 내 의견이 반영되지 않았으니 어차피 나아질 리 없겠지.,과잉일반화
또 업무 일정이 밀렸으니 어차피 반복되는 거겠지.,과잉일반화
또 상사에게 지적당했으니 언제나 이런 결과만 나올 거야.,과잉일반화
또 회의록을 늦게 정리했으니 결국 이렇게만 흘러갈 것 같아.,과잉일반화
이번에도 준비한 자료가 부족했으니 앞으로도 매번 이렇게 될 거야.,과잉일반화
또 중요한 메일을 놓쳤으니 앞으로도 계속 이런 실수를 할 거야.,과잉일반화
이번에도 업무 보고가 길어졌으니 이번에도 그랬으니 계속 그럴 거야.,과잉일반화
이번에도 신입을 제대로 지도 못했으니 앞으로도 좋은 일은 없겠지.,과잉일반화
이번에도 발표에서 긴장했으니 이번에도 그랬으니 계속 그럴 거야.,과잉일반화
이번에도 프로젝트 일정이 길어졌으니 이제 항상 이런 식일 거야.,과잉일반화
이번 회의도 지각했으니 매번 이런 결과가 이어질 거야.,과잉일반화
지난번 프로젝트도 실패했으니 매번 이런 결과가 이어질 거야.,과잉일반화
이번 프로젝트도 마감이 늦었으니 항상 그랬으니 앞으로도 그럴 거야.,과잉일반화
또 보고서에 실수했으니 앞으로도 계속 이런 실수를 할 거야.,과잉일반화
이번에도 준비한 자료가 부족했으니 계속 실패만 할 거라는 생각이 들어.,과잉일반화
또 상사에게 지적당했으니 이번에도 그랬으니 계속 그럴 거야.,과잉일반화
이번에도 타 부서와 협력이 안 됐으니 앞으로도 매번 이렇게 될 거야.,과잉일반화
이번에도 목표 매출을 달성 못했으니 앞으로도 매번 이렇게 될 거야.,과잉일반화
어제 상사에게 혼났으니 어차피 나아질 리 없겠지.,과잉일반화
이번에도 프로젝트 일정이 길어졌으니 계속 이런 상황만 반복될 것 같아.,과잉일반화
또 업무 일정이 밀렸으니 결국 이렇게만 흘러갈 것 같아.,과잉일반화
또 중요한 메일을 놓쳤으니 또 이런 일이 반복될 거야.,과잉일반화
또 회의록을 늦게 정리했으니 앞으로도 매번 이렇게 될 거야.,과잉일반화
또 회식에서 말이 없었으니 앞으로도 매번 이렇게 될 거야.,과잉일반화
이번에도 발표에서 긴장했으니 앞으로도 매번 이렇게 될 거야.,과잉일반화
