text,label
오늘 참고서 때문에 설레요.,비인지왜곡
문득 앞으로 하고 싶은 일이 많아요.,비인지왜곡
오늘 점심 회의를 준비하느라 긴장돼요.,비인지왜곡
오늘 실습을 끝내고 새로워요.,비인지왜곡
오늘 다음 학기에 어떤 수업을 들을지 고민이에요.,비인지왜곡
이번 학기 현장 실습 때문에 해내고 싶어요.,비인지왜곡
지난주 토론을 하다가 설레요.,비인지왜곡
최근에 곧 있을 발표가 설레요.,비인지왜곡
출근을 하면서 편안해요.,비인지왜곡
이번 학기 기말고사를 하다가 긴장돼요.,비인지왜곡
요즘 들어 다음 주에는 여행 준비를 해야 해요.,비인지왜곡
최근에 조만간 가족 모임이 있어서 설레요.,비인지왜곡
가끔 곧 있을 모임을 기대하고 있어요.,비인지왜곡
어젯밤 친구들에게 연락을 자주 해요.,비인지왜곡
오늘 다가오는 시험 때문에 긴장돼요.,비인지왜곡
최근에 곧 있을 시험을 위해 계획을 세우고 있어요.,비인지왜곡
지난주 시험 공부를 하다가 마음이 불안해요.,비인지왜곡
지난주 자료 조사를 준비하느라 뿌듯해요.,비인지왜곡
이번 주 부모님과 통화하고 신기했어요.,비인지왜곡
가끔 마음이 가라앉는 날이 있어요.,비인지왜곡
최근에 새로운 취미를 찾고 있어요.,비인지왜곡
오늘 가족과 산책하며 뿌듯했어요.,비인지왜곡
지난주 전화 회의를 하고 있어서 피로가 쌓여요.,비인지왜곡
요즘 들어 앞으로 어떤 도전을 할지 기대돼요.,비인지왜곡
오늘 친구에게 선물을 받아서 세심함이 느껴졌어요.,비인지왜곡
요즘은 곧 있을 모임을 기대하고 있어요.,비인지왜곡
요 며칠 메일 확인이 있어서 조금 부담돼요.,비인지왜곡
주말 친구와 이야기 나누며 민망했어요.,비인지왜곡
이번 주 자료 조사를 하다가 마음이 답답해요.,비인지왜곡
오늘 시험 공부를 하다가 마음이 불안해요.,비인지왜곡
요즘 다음 달 여행을 설계하고 있어요.,비인지왜곡
문득 다음 주에는 여행 준비를 해야 해요.,비인지왜곡
요즘 들어 앞으로 배우고 싶은 것이 많아요.,비인지왜곡
어젯밤 가족에게 안부를 전하고 신기했어요.,비인지왜곡
지난주 자료 공유가 있어서 잘 안 풀려요.,비인지왜곡
지금 장래에 어디서 살지 생각해봐요.,비인지왜곡
오늘 자료 조사를 하다가 좀 지쳤어요.,비인지왜곡
가끔 밤마다 여러 생각이 떠올라요.,비인지왜곡
어젯밤 음악을 자주 들어요.,비인지왜곡
이번 주 문서 정리가 있어서 신나요.,비인지왜곡
어제 친구와 카페에 가서 살짝 서운했어요.,비인지왜곡
주말 수강 신청 때문에 편안해요.,비인지왜곡
지난주 친구와 전화를 길게 하면서 고마웠어요.,비인지왜곡
아침 업무 계획이 있어서 집중이 잘 안 돼요.,비인지왜곡
요즘 들어 다가오는 계절을 맞이할 준비를 하고 있어요.,비인지왜곡
이번 달 다음 달에는 자신을 돌볼 시간을 가질 거예요.,비인지왜곡
연구를 하면서 호기심이 생겨요.,비인지왜곡
이번 주 가족과 외출하면서 묘하게 어색했어요.,비인지왜곡
주말 발표 때문에 새로워요.,비인지왜곡
오늘 아무것도 하고 싶지 않아요.,비인지왜곡
지난주 친구의 생일을 챙기면서 뿌듯했어요.,비인지왜곡
저녁 동료와 소소한 이야기를 나누고 위로가 됐어요.,비인지왜곡
주말 지인과 점심을 약속하고 마음이 편안해요.,비인지왜곡
이제 곧 있을 시험 공부를 시작해야 해요.,비인지왜곡
아침 동료와 일 이야기를 하며 약간 소외된 느낌이 들었어요.,비인지왜곡
아침 중간고사 때문에 부담돼요.,비인지왜곡
토론을 하면서 어려워요.,비인지왜곡
이번 주 저녁마다 산책을 하면서 마음을 정리해요.,비인지왜곡
때때로 피로가 남아 있어요.,비인지왜곡
오늘 실습을 끝내고 도움이 돼요.,비인지왜곡
다음 주 시험 공부 때문에 긴장돼요.,비인지왜곡
다음 주 과제 제출을 준비하느라 해내고 싶어요.,비인지왜곡
주말에는 예전 기억이 떠올라요.,비인지왜곡
가끔 다음 해에 어떤 목표를 세울지 고민 중이에요.,비인지왜곡
최근에 밤마다 여러 생각이 떠올라요.,비인지왜곡
다음 주 리포트를 끝내고 도움이 돼요.,비인지왜곡
지난주 세미나를 하다가 어려워요.,비인지왜곡
지난주 출장을 하고 있어서 기대돼요.,비인지왜곡
수업을 하면서 지쳤어요.,비인지왜곡
저녁 팀 미팅을 하다가 묘하게 초조해요.,비인지왜곡
최근에 다가올 프로젝트에 참여할 생각이에요.,비인지왜곡
문득 곧 있을 여행이 설레요.,비인지왜곡
최근에 기분이 울적해요.,비인지왜곡
아침마다 아무것도 하고 싶지 않아요.,비인지왜곡
오늘 프로젝트를 준비하느라 좀 지쳤어요.,비인지왜곡
저녁 실습 때문에 필요성을 느껴요.,비인지왜곡
어젯밤 집중이 잘 안 돼요.,비인지왜곡
주말에는 아무것도 하고 싶지 않아요.,비인지왜곡
최근에 졸업을 앞두고 마음이 복잡해요.,비인지왜곡
어제 혼자 있는 시간이 필요해요.,비인지왜곡
재택근무를 하면서 잘 안 풀려요.,비인지왜곡
오늘 프로젝트 때문에 왠지 걱정돼요.,비인지왜곡
메일 확인을 하면서 설레요.,비인지왜곡
요 며칠 메일 확인 때문에 긴장돼요.,비인지왜곡
이번 주 실습을 준비하느라 도움이 돼요.,비인지왜곡
이번 달 다가올 프로젝트에 참여할 생각이에요.,비인지왜곡
이번 주 건강을 챙기려고 운동을 시작했어요.,비인지왜곡
오늘 마감을 준비하느라 묘하게 초조해요.,비인지왜곡
아침마다 밤마다 여러 생각이 떠올라요.,비인지왜곡
주말 과외를 준비하느라 새로워요.,비인지왜곡
이번 달 앞으로 나아갈 방향을 생각해요.,비인지왜곡
저녁 현장 실습을 하고 있어서 부담돼요.,비인지왜곡
문득 다음 주에 시작할 수업을 준비하고 있어요.,비인지왜곡
주말 친구에게 안부를 물으면서 묘하게 어색했어요.,비인지왜곡
요즘 들어 다음 달에 새로운 일을 시작할 거예요.,비인지왜곡
오늘 가족과 외출하면서 즐거웠어요.,비인지왜곡
오늘 다가올 프로젝트에 참여할 생각이에요.,비인지왜곡
어제 친구들에게 연락을 자주 해요.,비인지왜곡
지난주 토론을 끝내고 도움이 돼요.,비인지왜곡
이번 주 그림 그리기를 좋아해요.,비인지왜곡
주말 중간고사 때문에 설레요.,비인지왜곡
주말에는 음악을 자주 들어요.,비인지왜곡
아침마다 요리를 하면서 시간을 보내요.,비인지왜곡
요즘 건강을 챙기려고 운동을 시작했어요.,비인지왜곡
점심 회의를 하면서 신나요.,비인지왜곡
